,Unnamed: 0,host_since,host_response_time,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,number_of_reviews,review_scores_cleanliness,review_scores_communication,review_scores_location
0,0,2010-06-28,within an hour,f,Cuajimalpa de Morelos,Entire home/apt,2,0,0.0,0.0,0.0
1,1,2010-08-09,within an hour,f,Cuauhtémoc,Entire home/apt,14,65,4.7,4.78,4.98
2,2,2010-10-19,within a few hours,f,Cuauhtémoc,Entire home/apt,2,84,4.88,4.94,4.76
3,3,2011-01-04,within a few hours,f,Cuauhtémoc,Entire home/apt,4,50,4.76,4.92,4.98
4,4,2010-08-24,within a few hours,t,Coyoacán,Entire home/apt,2,132,4.96,4.98,4.96
5,5,2011-05-31,within an hour,f,Coyoacán,Private room,2,0,0.0,0.0,0.0
6,6,2011-07-07,within an hour,t,Miguel Hidalgo,Entire home/apt,16,383,4.83,4.88,4.75
7,7,2011-07-13,within an hour,t,Benito Juárez,Private room,2,117,4.61,4.95,4.96
8,8,2009-09-07,within an hour,t,Cuauhtémoc,Entire home/apt,2,60,4.77,4.9,4.9
9,9,2011-07-31,within an hour,t,Cuauhtémoc,Entire home/apt,4,103,4.66,4.88,4.92
10,10,2013-06-19,within an hour,f,Miguel Hidalgo,Entire home/apt,2,35,4.66,4.74,4.71
11,11,2011-04-27,within an hour,t,Miguel Hidalgo,Entire home/apt,2,217,4.91,4.87,4.97
12,12,2013-06-25,within an hour,t,Coyoacán,Private room,2,2,5.0,5.0,5.0
13,13,2013-05-15,within an hour,f,Benito Juárez,Private room,2,26,5.0,4.96,4.54
14,14,2012-05-29,a few days or more,f,Benito Juárez,Entire home/apt,2,36,4.17,4.67,4.67
15,15,2013-07-18,within an hour,f,Miguel Hidalgo,Private room,2,2,5.0,5.0,5.0
16,16,2012-10-06,within a day,f,Cuauhtémoc,Entire home/apt,16,164,4.75,4.96,4.48
17,17,2013-03-06,within an hour,t,Benito Juárez,Entire home/apt,2,144,4.88,4.9,4.86
18,18,2013-07-20,within an hour,t,Cuauhtémoc,Entire home/apt,2,368,4.95,4.98,4.95
19,19,2011-07-31,within an hour,t,Cuauhtémoc,Entire home/apt,3,24,4.58,4.79,5.0
20,20,2011-07-31,within an hour,t,Cuauhtémoc,Entire home/apt,2,77,4.81,5.0,4.96
21,21,2011-08-20,within an hour,t,Cuauhtémoc,Entire home/apt,2,32,4.35,4.87,4.97
22,22,2011-10-13,within an hour,NONE,Cuauhtémoc,Entire home/apt,3,409,4.86,4.94,4.89
23,23,2011-10-13,within an hour,NONE,Cuauhtémoc,Entire home/apt,2,307,4.88,4.94,4.9
24,24,2011-10-16,within a day,t,Cuauhtémoc,Entire home/apt,1,156,4.97,4.94,4.98
25,25,2011-07-07,within an hour,t,Miguel Hidalgo,Entire home/apt,14,322,4.89,4.94,4.78
26,26,2011-11-05,within a few hours,f,Cuauhtémoc,Entire home/apt,3,354,4.76,4.82,4.94
27,27,2011-11-17,within an hour,f,Miguel Hidalgo,Entire home/apt,2,14,4.93,4.86,4.93
28,28,2011-11-26,within an hour,f,Iztacalco,Entire home/apt,2,0,0.0,0.0,0.0
29,29,2013-07-26,within an hour,f,Cuauhtémoc,Entire home/apt,4,109,4.79,4.96,4.88
30,30,2013-07-26,within an hour,t,Cuauhtémoc,Entire home/apt,2,236,4.97,4.89,4.97
31,31,2013-07-31,within an hour,t,Miguel Hidalgo,Entire home/apt,2,127,4.83,4.98,4.9
32,32,2013-08-02,within an hour,NONE,Benito Juárez,Private room,2,325,4.97,4.99,4.96
33,33,2013-05-13,within an hour,f,Iztapalapa,Private room,2,3,5.0,5.0,4.67
34,34,2013-08-20,within an hour,NONE,Cuauhtémoc,Entire home/apt,2,376,4.89,4.98,4.92
35,35,2012-06-01,within an hour,t,Álvaro Obregón,Hotel room,2,28,5.0,4.96,4.93
36,36,2010-08-09,within an hour,f,Cuauhtémoc,Hotel room,3,7,5.0,5.0,5.0
37,37,2011-12-12,within an hour,f,Cuauhtémoc,Entire home/apt,2,442,4.66,4.83,4.95
38,38,2011-12-16,within an hour,f,Benito Juárez,Private room,1,0,0.0,0.0,0.0
39,39,2011-12-27,within an hour,f,Cuauhtémoc,Entire home/apt,4,119,4.88,4.73,4.9
40,40,2012-01-28,within an hour,f,Cuauhtémoc,Private room,1,106,4.85,4.86,4.93
41,41,2012-01-28,within a few hours,t,Coyoacán,Private room,2,234,4.82,4.92,4.77
42,42,2013-08-20,within an hour,NONE,Cuauhtémoc,Entire home/apt,3,359,4.9,4.99,4.94
43,43,2013-09-07,within an hour,f,Cuauhtémoc,Entire home/apt,3,72,4.94,4.81,4.92
44,44,2011-07-09,within an hour,f,Cuauhtémoc,Private room,1,0,0.0,0.0,0.0
45,45,2014-07-27,within an hour,f,Cuauhtémoc,Entire home/apt,2,412,4.93,4.93,4.98
46,46,2012-06-01,within an hour,t,Álvaro Obregón,Private room,2,38,4.95,4.97,4.97
47,47,2012-06-01,within an hour,t,Álvaro Obregón,Hotel room,2,66,4.97,4.94,4.97
48,48,2013-10-21,within an hour,t,Benito Juárez,Entire home/apt,4,102,4.91,4.98,4.89
49,49,2022-04-25,within an hour,t,Cuauhtémoc,Entire home/apt,4,326,4.79,4.93,4.79
50,50,2012-01-29,within an hour,f,Cuauhtémoc,Private room,2,162,4.81,4.91,4.89
51,51,2012-02-01,within an hour,f,Tlalpan,Private room,2,17,4.76,5.0,4.56
52,52,2012-02-02,within an hour,f,Coyoacán,Private room,2,0,0.0,0.0,0.0
53,53,2012-02-19,within an hour,f,Cuauhtémoc,Private room,1,0,0.0,0.0,0.0
54,54,2012-02-29,within a few hours,f,Cuauhtémoc,Entire home/apt,4,50,4.92,4.84,4.94
55,55,2012-03-08,within a day,f,Cuauhtémoc,Private room,14,53,4.74,4.85,4.98
56,56,2012-03-16,a few days or more,f,Coyoacán,Private room,1,22,4.91,4.82,4.95
57,57,2011-07-31,within an hour,t,Cuauhtémoc,Entire home/apt,2,34,4.85,4.79,5.0
58,58,2012-04-06,a few days or more,f,Cuauhtémoc,Private room,2,49,4.94,4.89,4.96
59,59,2013-09-12,within an hour,f,Benito Juárez,Entire home/apt,4,3,5.0,5.0,5.0
60,60,00/00/00,within an hour,f,Cuauhtémoc,Entire home/apt,4,132,4.87,4.93,4.83
61,61,2013-11-11,within an hour,t,Cuauhtémoc,Private room,2,89,4.93,4.92,4.93
62,62,2013-11-11,within an hour,t,Cuauhtémoc,Private room,2,145,4.74,4.75,4.85
63,63,2012-09-06,within an hour,t,Cuauhtémoc,Entire home/apt,3,311,4.8,4.79,4.92
64,64,2013-11-11,within an hour,f,Tlalpan,Private room,1,3,5.0,5.0,5.0
65,65,2012-06-01,within an hour,t,Álvaro Obregón,Private room,2,53,4.85,4.85,4.88
66,66,2011-01-08,within an hour,f,Tlalpan,Private room,2,4,5.0,5.0,5.0
67,67,2013-11-19,within an hour,f,Benito Juárez,Entire home/apt,3,23,4.74,5.0,4.7
68,68,2013-11-27,within an hour,f,Cuauhtémoc,Entire home/apt,4,61,4.85,4.98,4.97
69,69,2012-01-12,within an hour,t,Cuauhtémoc,Entire home/apt,2,288,4.94,4.89,4.96
70,70,2012-05-03,within an hour,f,Cuauhtémoc,Entire home/apt,2,160,4.66,4.71,4.86
71,71,00/00/00,within an hour,f,Cuauhtémoc,Entire home/apt,2,35,4.88,4.97,4.91
72,72,2011-10-16,within a day,t,Cuauhtémoc,Entire home/apt,7,26,4.96,4.84,4.88
73,73,2011-11-02,within an hour,t,Cuauhtémoc,Entire home/apt,4,154,4.84,4.92,4.97
74,74,2013-07-31,within an hour,t,Miguel Hidalgo,Entire home/apt,2,62,4.98,5.0,4.94
75,75,2013-12-09,within an hour,f,Coyoacán,Entire home/apt,4,46,4.89,5.0,5.0
76,76,2013-12-09,within an hour,f,Coyoacán,Entire home/apt,3,15,5.0,5.0,5.0
77,77,2013-12-09,within an hour,f,Coyoacán,Entire home/apt,3,21,4.95,4.95,5.0
78,78,2014-06-16,within an hour,NONE,Coyoacán,Entire home/apt,2,63,4.89,5.0,4.94
79,79,2012-05-10,within a few hours,t,Cuauhtémoc,Entire home/apt,2,113,4.75,4.88,5.0
80,80,2013-08-20,within an hour,NONE,Cuauhtémoc,Entire home/apt,3,328,4.94,4.99,4.94
81,81,2013-12-15,within an hour,f,Venustiano Carranza,Entire home/apt,2,629,4.68,4.78,4.63
82,82,2012-09-25,within an hour,t,Miguel Hidalgo,Entire home/apt,2,89,4.85,4.96,4.89
83,83,2012-06-04,within an hour,f,Venustiano Carranza,Private room,2,324,4.6,4.93,4.87
84,84,2010-07-05,within an hour,NONE,Cuauhtémoc,Entire home/apt,4,378,4.94,4.84,4.97
85,85,2012-06-18,within an hour,t,Miguel Hidalgo,Private room,2,73,4.68,4.93,4.99
86,86,2012-05-10,within a day,f,Cuauhtémoc,Private room,1,28,4.79,4.89,4.73
87,87,2010-08-09,within an hour,f,Cuauhtémoc,Hotel room,3,1,5.0,3.0,5.0
88,88,2012-07-08,within an hour,t,Cuauhtémoc,Entire home/apt,4,137,4.69,4.68,4.86
89,89,2012-03-03,within a day,f,Gustavo A. Madero,Private room,2,6,4.83,4.83,4.5
90,90,2012-07-15,within a day,f,Cuauhtémoc,Entire home/apt,2,22,4.68,4.59,4.59
91,91,2012-04-25,within a few hours,f,Xochimilco,Entire home/apt,5,14,4.21,4.71,4.43
92,92,2014-06-16,within an hour,NONE,Coyoacán,Entire home/apt,2,37,4.67,4.81,4.86
93,93,2012-11-06,within an hour,f,Coyoacán,Entire home/apt,2,9,4.78,5.0,5.0
94,94,2013-12-25,within an hour,t,Benito Juárez,Entire home/apt,6,254,4.89,4.94,4.87
95,95,2011-01-17,within a day,t,Cuauhtémoc,Private room,2,171,4.96,4.96,4.96
96,96,2011-08-01,within an hour,t,Cuauhtémoc,Entire home/apt,4,40,4.55,4.95,4.83
97,97,2012-06-01,within an hour,t,Álvaro Obregón,Entire home/apt,6,5,4.4,4.8,4.6
98,98,2013-06-28,within a few hours,f,Cuauhtémoc,Entire home/apt,2,272,4.92,4.97,4.91
99,99,2014-01-23,within an hour,t,Cuauhtémoc,Private room,2,15,5.0,5.0,5.0
100,100,2013-11-23,within a few hours,t,Cuauhtémoc,Entire home/apt,4,301,4.58,4.83,4.9
101,101,2012-07-24,within an hour,f,Cuauhtémoc,Entire home/apt,2,234,4.66,4.95,4.75
102,102,2012-08-09,within an hour,f,Cuauhtémoc,Private room,2,0,0.0,0.0,0.0
103,103,2012-08-03,within a day,NONE,Miguel Hidalgo,Entire home/apt,6,103,4.83,4.94,4.84
104,104,2012-08-17,within a few hours,f,Miguel Hidalgo,Private room,1,1,5.0,4.0,5.0
105,105,2012-09-10,within a few hours,f,Cuauhtémoc,Entire home/apt,6,272,4.71,4.91,4.92
106,106,2012-09-10,within a few hours,f,Miguel Hidalgo,Entire home/apt,5,153,4.55,4.87,4.74
107,107,2012-09-10,within a few hours,f,Miguel Hidalgo,Entire home/apt,6,41,4.73,4.93,4.6
108,108,2014-01-28,within an hour,t,Miguel Hidalgo,Private room,2,229,4.87,4.92,4.94
109,109,2014-01-29,within a day,f,Cuauhtémoc,Entire home/apt,2,2,5.0,5.0,5.0
110,110,2012-10-16,within an hour,t,Cuauhtémoc,Entire home/apt,5,336,4.84,4.94,4.92
111,111,2014-02-04,within a few hours,f,Coyoacán,Private room,1,24,4.33,4.83,4.79
112,112,2014-02-05,within an hour,f,Miguel Hidalgo,Private room,2,5,5.0,5.0,5.0
113,113,2014-02-04,within a few hours,f,Coyoacán,Private room,1,29,4.75,4.89,4.75
114,114,2013-07-25,within an hour,NONE,Cuauhtémoc,Entire home/apt,4,273,4.88,4.98,4.99
115,115,2013-11-10,a few days or more,f,Miguel Hidalgo,Private room,2,44,4.91,4.7,4.75
116,116,2012-07-08,within an hour,t,Cuauhtémoc,Entire home/apt,3,35,4.8,4.63,4.91
117,117,2012-07-08,within an hour,t,Cuauhtémoc,Entire home/apt,2,42,4.85,4.8,4.95
118,118,2012-10-06,within a day,f,Cuauhtémoc,Entire home/apt,16,164,4.74,4.91,4.46
119,119,2012-10-12,within an hour,NONE,Cuauhtémoc,Hotel room,2,25,4.84,5.0,4.84
120,120,2012-10-12,within an hour,NONE,Cuauhtémoc,Entire home/apt,2,7,4.29,4.43,4.43
121,121,2012-10-09,within an hour,f,Cuauhtémoc,Private room,2,5,4.2,4.6,4.8
122,122,00/00/00,within an hour,f,Cuajimalpa de Morelos,Private room,3,39,4.92,4.95,4.72
123,123,2012-12-03,within an hour,f,Miguel Hidalgo,Entire home/apt,6,55,4.41,4.61,4.39
124,124,2014-02-23,within an hour,NONE,Benito Juárez,Entire home/apt,2,24,4.71,5.0,4.79
125,125,2013-08-22,within a day,f,Miguel Hidalgo,Entire home/apt,1,37,4.78,4.89,4.76
126,126,2012-10-01,within an hour,f,Benito Juárez,Private room,1,0,0.0,0.0,0.0
127,127,2013-04-10,within a day,f,Coyoacán,Private room,2,67,4.91,4.78,4.94
128,128,2014-03-07,within an hour,t,Cuauhtémoc,Private room,2,168,5.0,5.0,5.0
129,129,2014-03-10,within an hour,t,Cuauhtémoc,Entire home/apt,2,391,4.95,4.97,5.0
130,130,2013-01-21,within an hour,t,Cuauhtémoc,Entire home/apt,4,195,4.93,4.96,4.97
