,Unnamed: 0,host_since,host_response_time,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,number_of_reviews,review_scores_cleanliness,review_scores_communication,review_scores_location
0,0,28/06/10,within an hour,f,Cuajimalpa de Morelos,Entire home/apt,2,0,0,0,0
1,1,09/08/10,within an hour,f,Cuauhtémoc,Entire home/apt,2,65,4.7,4.78,4.98
2,2,19/10/10,within a few hours,f,Cuauhtémoc,Entire home/apt,2,84,4.88,4.94,4.76
3,3,04/01/11,within a few hours,f,Cuauhtémoc,Entire home/apt,4,50,4.76,4.92,4.98
4,4,24/08/10,within a few hours,t,Coyoacán,Entire home/apt,2,132,4.96,4.98,4.96
5,5,31/05/11,within an hour,f,Coyoacán,Private room,2,0,0,0,0
6,6,07/07/11,within an hour,t,Miguel Hidalgo,Entire home/apt,2,21,4.83,4.88,4.75
7,7,13/07/11,within an hour,t,Benito Juárez,Private room,2,117,4.61,4.95,4.96
8,8,07/09/09,within an hour,t,Cuauhtémoc,Entire home/apt,2,60,4.77,4.9,4.9
9,9,31/07/11,within an hour,t,Cuauhtémoc,Entire home/apt,4,103,4.66,4.88,4.92
10,10,19/06/13,within an hour,f,Miguel Hidalgo,Entire home/apt,2,35,4.66,4.74,4.71
11,11,27/04/11,within an hour,t,Miguel Hidalgo,Entire home/apt,2,21,4.91,4.87,4.97
12,12,25/06/13,within an hour,t,Coyoacán,Private room,2,2,5,5,5
13,13,15/05/13,within an hour,f,Benito Juárez,Private room,2,26,5,4.96,4.54
14,14,29/05/12,a few days or more,f,Benito Juárez,Entire home/apt,2,36,4.17,4.67,4.67
15,15,18/07/13,within an hour,f,Miguel Hidalgo,Private room,2,2,5,5,5
16,16,06/10/12,within a day,f,Cuauhtémoc,Entire home/apt,2,21,4.75,4.96,4.48
17,17,06/03/13,within an hour,t,Benito Juárez,Entire home/apt,2,144,4.88,4.9,4.86
18,18,20/07/13,within an hour,t,Cuauhtémoc,Entire home/apt,2,21,4.95,4.98,4.95
19,19,31/07/11,within an hour,t,Cuauhtémoc,Entire home/apt,3,24,4.58,4.79,5
20,20,31/07/11,within an hour,t,Cuauhtémoc,Entire home/apt,2,77,4.81,5,4.96
21,21,20/08/11,within an hour,t,Cuauhtémoc,Entire home/apt,2,32,4.35,4.87,4.97
